Word:  --> Said:5855
Word: 'cause --> Said:2
Word: 'em --> Said:1
Word: 'n' --> Said:1
Word: 000 --> Said:1
Word: 0900 --> Said:2
Word: 10 --> Said:1
Word: 100 --> Said:1
Word: 118 --> Said:1
Word: 2005 --> Said:1
Word: 24b --> Said:1
Word: 27 --> Said:3
Word: 30 --> Said:2
Word: 3000 --> Said:1
Word: 356 --> Said:1
Word: 4475 --> Said:1
Word: 75 --> Said:1
Word: 80s --> Said:1
Word: 81 --> Said:1
Word: 83rd --> Said:1
Word: 9:15 --> Said:1
Word: a --> Said:259
Word: able --> Said:3
Word: abort --> Said:1
Word: aborting --> Said:1
Word: about --> Said:24
Word: absolutely --> Said:2
Word: absurd --> Said:1
Word: according --> Said:1
Word: account --> Said:1
Word: across --> Said:1
Word: action --> Said:1
Word: actor --> Said:1
Word: actual --> Said:1
Word: actually --> Said:4
Word: adam --> Said:9
Word: addicted --> Said:1
Word: adjusted --> Said:1
Word: adrenaline --> Said:1
Word: ads --> Said:1
Word: advancement --> Said:1
Word: advantage --> Said:1
Word: advisory --> Said:1
Word: affect --> Said:1
Word: affects --> Said:1
Word: affirmative --> Said:3
Word: afraid --> Said:3
Word: after --> Said:2
Word: afternoon --> Said:3
Word: aftertaste --> Said:1
Word: again --> Said:4
Word: against --> Said:3
Word: agreed --> Said:1
Word: ahead --> Said:1
Word: aim --> Said:2
Word: aiming --> Said:1
Word: air --> Said:1
Word: airport --> Said:2
Word: alaska --> Said:1
Word: alert --> Said:1
Word: alive --> Said:1
Word: all --> Said:73
Word: allergic --> Said:3
Word: allow --> Said:1
Word: almost --> Said:2
Word: alone --> Said:1
Word: already --> Said:2
Word: also --> Said:4
Word: always --> Said:4
Word: am --> Said:7
Word: amazing --> Said:4
Word: amen --> Said:1
Word: amusement --> Said:1
Word: an --> Said:18
Word: anchor --> Said:1
Word: and --> Said:108
Word: angel --> Said:1
Word: anger --> Said:1
Word: angry --> Said:1
Word: animal --> Said:1
Word: animals --> Said:1
Word: another --> Said:5
Word: ant --> Said:1
Word: antennae --> Said:2
Word: antennas --> Said:1
Word: antonio --> Said:2
Word: anxiously --> Said:1
Word: any --> Said:7
Word: anybody --> Said:2
Word: anyone --> Said:2
Word: anyone's --> Said:1
Word: anything --> Said:7
Word: anyway --> Said:5
Word: anywhere --> Said:2
Word: approach --> Said:1
Word: appropriate --> Said:1
Word: approved --> Said:1
Word: are --> Said:63
Word: area --> Said:3
Word: aren't --> Said:4
Word: around --> Said:10
Word: arousing --> Said:1
Word: artie --> Said:1
Word: artificial --> Said:2
Word: as --> Said:16
Word: ask --> Said:2
Word: asked --> Said:1
Word: aspect --> Said:1
Word: associate --> Said:1
Word: assume --> Said:1
Word: assuming --> Said:1
Word: at --> Said:26
Word: athletic --> Said:1
Word: attack --> Said:2
Word: attempting --> Said:1
Word: attendant's --> Said:1
Word: attention --> Said:1
Word: attorney --> Said:2
Word: attracted --> Said:1
Word: authorities --> Said:1
Word: autograph --> Said:1
Word: automatic --> Said:1
Word: automatically --> Said:1
Word: autopilot --> Said:1
Word: available --> Said:3
Word: aviation --> Said:1
Word: aware --> Said:1
Word: away --> Said:2
Word: awful --> Said:1
Word: awfully --> Said:1
Word: awkward --> Said:1
Word: b's --> Said:1
Word: babbling --> Said:1
Word: baby'll --> Said:1
Word: back --> Said:12
Word: backhand's --> Said:1
Word: bad --> Said:5
Word: badfella --> Said:1
Word: balance --> Said:1
Word: bald --> Said:1
Word: ball's --> Said:1
Word: balloon --> Said:2
Word: balm --> Said:1
Word: band --> Said:1
Word: barely --> Said:1
Word: barricade --> Said:1
Word: barrier --> Said:1
Word: barry --> Said:50
Word: base --> Said:1
Word: bats --> Said:1
Word: battery --> Said:1
Word: be --> Said:51
Word: beams --> Said:1
Word: bear --> Said:8
Word: beards --> Said:1
Word: bears --> Said:3
Word: beast --> Said:1
Word: beautiful --> Said:2
Word: because --> Said:9
Word: bed --> Said:1
Word: bedbug --> Said:1
Word: bee --> Said:93
Word: bee's --> Said:1
Word: beekeeper --> Said:1
Word: beekeepers --> Said:1
Word: been --> Said:13
Word: beep --> Said:4
Word: beer --> Said:1
Word: bees --> Said:57
Word: before --> Said:4
Word: begin --> Said:1
Word: begins --> Said:2
Word: behind --> Said:4
Word: being --> Said:4
Word: bejesus --> Said:1
Word: belated --> Said:1
Word: believe --> Said:11
Word: believed --> Said:1
Word: belong --> Said:1
Word: benefit --> Said:1
Word: benson --> Said:15
Word: bent --> Said:1
Word: best --> Said:1
Word: bet --> Said:1
Word: better --> Said:3
Word: between --> Said:2
Word: big --> Said:7
Word: billion --> Said:1
Word: birds --> Said:1
Word: birth --> Said:1
Word: bit --> Said:6
Word: biting --> Said:1
Word: black --> Said:8
Word: blacktop --> Said:1
Word: blade --> Said:2
Word: blend --> Said:1
Word: blew --> Said:2
Word: blinked --> Said:1
Word: blood --> Said:4
Word: bloome --> Said:3
Word: blossom --> Said:1
Word: blow --> Said:2
Word: blows --> Said:1
Word: blue --> Said:2
Word: bluffing --> Said:1
Word: boat --> Said:1
Word: bob --> Said:3
Word: body --> Said:2
Word: bogus --> Said:1
Word: book --> Said:1
Word: boots --> Said:1
Word: bored --> Said:1
Word: born --> Said:1
Word: borrow --> Said:1
Word: both --> Said:1
Word: bothering --> Said:1
Word: bottom --> Said:3
Word: bounty --> Said:1
Word: bouquets --> Said:1
Word: bowl --> Said:1
Word: box --> Said:2
Word: boy --> Said:6
Word: boys --> Said:3
Word: brain --> Said:2
Word: brave --> Said:1
Word: brazenly --> Said:1
Word: bread --> Said:1
Word: break --> Said:1
Word: breakfast --> Said:1
Word: breaking --> Said:1
Word: breath --> Said:1
Word: breathe --> Said:1
Word: breaths --> Said:1
Word: bred --> Said:1
Word: briefcase --> Said:1
Word: bright --> Said:1
Word: bring --> Said:6
Word: bringing --> Said:1
Word: britches --> Said:1
Word: brochure --> Said:3
Word: brooch --> Said:1
Word: brooms --> Said:1
Word: bubble --> Said:1
Word: bud --> Said:1
Word: buddy --> Said:1
Word: bug --> Said:2
Word: bugging --> Said:1
Word: bugs --> Said:4
Word: build --> Said:1
Word: building --> Said:1
Word: bumble --> Said:3
Word: bumbleton --> Said:1
Word: business --> Said:1
Word: businesses --> Said:1
Word: busted --> Said:1
Word: busy --> Said:1
Word: but --> Said:36
Word: buttocks --> Said:1
Word: buzz --> Said:13
Word: buzzwell --> Said:2
Word: buzzy --> Said:1
Word: by --> Said:7
Word: bye --> Said:7
Word: cab --> Said:1
Word: cafeteria --> Said:1
Word: cake --> Said:1
Word: call --> Said:6
Word: called --> Said:2
Word: calories --> Said:1
Word: campaign --> Said:1
Word: camps --> Said:2
Word: can --> Said:17
Word: can't --> Said:25
Word: can'tjust --> Said:1
Word: candy --> Said:2
Word: cannot --> Said:2
Word: capable --> Said:1
Word: captain --> Said:1
Word: capture --> Said:1
Word: car --> Said:1
Word: card --> Said:2
Word: care --> Said:1
Word: career --> Said:1
Word: careful --> Said:2
